secID,tradeDate,ticker,ChgPct,Close,DownPct,MA5,MA10,MA20,MA60,MA120,MACD,DIFF,DEA,PB1,PB2,PE1,PE2,RSI12,TurnoverValue,TurnoverVol,UpPct,updateTime
000300.ZICN,20090402,300,1.106,2576.4,37.6667,2523.162,2476.791,2370.925,2217.267,2047.0238,35.1772,82.7449,65.1563,2.6566,3.6691,18.3175,41.3125,72.6347,1.43709E+11,13514680600,58.6667,2016/11/16 17:28
000300.ZICN,20090403,300,-0.229,2570.5,70.3333,2537.476,2495.858,2385.1215,2229.8133,2051.5873,32.4109,85.4131,69.2077,2.6566,3.614,18.3302,41.4213,71.5969,1.31076E+11,12365521600,27.6667,2016/11/16 17:28
000300.ZICN,20090407,300,0.251,2576.95,34.6667,2555.97,2509.614,2403.843,2241.38,2056.4345,28.5394,87.0448,72.7751,2.6748,3.6496,18.4568,41.6338,72.0728,93919114170,8608325700,60.6667,2016/11/16 17:28
000300.ZICN,20090408,300,-3.788,2479.34,91,2550.282,2512.37,2415.771,2250.3225,2061.2043,10.8312,79.5446,74.129,2.5719,3.5192,17.7547,40.1679,56.4578,1.07144E+11,9932809400,7.6667,2016/11/16 17:28
000300.ZICN,20090409,300,1.546,2517.66,11,2544.17,2524.004,2430.635,2260.0973,2065.6392,2.7037,75.8188,74.467,2.6046,3.5745,18.0884,42.5034,60.1549,82860990025,7459370300,84.3333,2016/11/16 17:28
000300.ZICN,20090410,300,3.093,2595.53,2,2547.996,2535.579,2449.6265,2271.8897,2071.1468,6.0489,78.2475,75.2231,2.6729,3.7016,18.5545,44.0702,66.4669,1.2186E+11,10414440800,95,2016/11/16 17:28
000300.ZICN,20090413,300,2.349,2656.51,11.3333,2565.198,2551.337,2472.181,2284.1922,2077.3315,14.2402,84.1232,77.0031,2.7478,3.7788,19.1726,45.4205,70.464,1.56802E+11,13901454100,84.6667,2016/11/16 17:28
000300.ZICN,20090414,300,0.766,2676.87,36,2585.182,2570.576,2493.944,2296.7953,2084.4646,19.8224,89.3921,79.4809,2.759,3.8161,19.2722,45.8651,71.6929,1.2684E+11,11049130400,59.3333,2016/11/16 17:28
000300.ZICN,20090415,300,0.378,2686.99,41,2626.712,2588.497,2512.1735,2310.3088,2091.579,22.1245,93.3087,82.2465,2.7648,3.8509,19.5656,48.7988,72.3175,1.33586E+11,12066529200,55.3333,2016/11/16 17:28
000300.ZICN,20090416,300,0.004,2687.1,47.3333,2660.6,2602.385,2529.896,2322.5065,2098.1654,20.9221,95.3228,84.8617,2.7654,3.8438,19.9632,49.1234,72.3248,1.3161E+11,12372961300,48.3333,2016/11/16 17:28
000300.ZICN,20090417,300,-1.355,2650.69,71,2671.632,2609.814,2543.3025,2334.1035,2104.5762,12.8771,92.9099,86.4714,2.7332,3.7938,19.9395,48.7036,66.0833,1.16185E+11,10152880800,22.6667,2016/11/16 17:28
000300.ZICN,20090420,300,2.149,2707.66,7.3333,2681.862,2623.53,2559.694,2346.061,2111.8623,12.8543,94.5053,88.0781,2.7886,3.8664,20.497,52.5163,70.4379,1.05081E+11,9590369400,87,2016/11/16 17:28
000300.ZICN,20090421,300,-1.19,2675.44,68.3333,2681.576,2633.379,2571.4965,2357.1107,2118.8678,6.4478,92.108,88.8841,2.752,3.8187,20.4437,55.0709,65.2677,1.18474E+11,10818525200,28.6667,2016/11/16 17:28
000300.ZICN,20090422,300,-3.706,2576.28,91,2659.434,2643.073,2577.7215,2366.2955,2125.4903,-12.1827,81.2699,87.3613,2.6749,3.6265,19.9024,53.1367,52.3637,1.31945E+11,12404641300,5.6667,2016/11/16 17:28
000300.ZICN,20090423,300,0.671,2593.56,32,2640.726,2650.663,2587.3335,2375.8263,2133.3143,-22.6087,73.2309,84.5352,2.6781,3.6571,20.4604,54.6491,54.0893,84795657156,8088794200,61.6667,2016/11/16 17:28
000300.ZICN,20090424,300,-0.797,2572.88,75,2625.164,2648.398,2591.9885,2384.6318,2140.5398,-32.1392,64.4482,80.5178,2.6555,3.5982,20.367,54.6333,51.6467,81956596002,7336096900,21.3333,2016/11/16 17:28
000300.ZICN,20090427,300,-2.316,2513.29,83,2586.29,2634.076,2592.7065,2392.642,2147.6654,-45.5018,52.0792,74.8301,2.6043,3.4765,20.5672,59.6372,45.2268,75040611359,7203939000,11,2016/11/16 17:28
000300.ZICN,20090428,300,0.208,2518.53,31.3333,2554.908,2618.242,2594.409,2400.3332,2154.5061,-52.1876,42.2128,68.3066,2.5665,3.4742,21.2214,60.9301,45.8722,66247490056,5926498300,62.3333,2016/11/16 17:28
000300.ZICN,20090429,300,3.448,2605.37,6,2560.726,2610.08,2599.2885,2408.6075,2162.3537,-43.804,40.9291,62.8311,2.6168,3.55,22.1138,65.6996,55.3785,91496802664,8188500600,91,2016/11/16 17:28
000300.ZICN,20090430,300,0.674,2622.92,32.6667,2566.598,2603.662,2603.0235,2416.216,2170.4318,-35.1587,40.857,58.4363,2.6152,3.5831,23.1053,61.5087,57.0418,96903683541,8580934800,61.6667,2016/11/16 17:28
000300.ZICN,20090504,300,3.484,2714.3,0,2594.882,2610.023,2609.9185,2425.6048,2179.4864,-17.2991,47.6244,56.2739,2.7032,3.7182,23.8828,63.5029,64.5483,1.13351E+11,10291656500,98,2016/11/16 17:28
000300.ZICN,20090505,300,0.468,2727.01,34.3333,2637.626,2611.958,2617.744,2433.767,2188.1163,-4.602,53.3977,55.6987,2.7074,3.7447,23.92,64.3683,65.464,1.12642E+11,10231372200,62.3333,2016/11/16 17:28
000300.ZICN,20090506,300,1.392,2764.97,19,2686.914,2620.911,2627.145,2441.572,2197.4097,7.427,60.3405,56.627,2.7324,3.814,24.1405,66.0742,68.1448,1.18232E+11,10580665000,77.3333,2016/11/16 17:28
000300.ZICN,20090507,300,0.076,2767.07,58.3333,2719.254,2639.99,2641.5315,2448.9107,2206.4868,13.8127,65.26,58.3536,2.7416,3.7948,24.2218,66.0382,68.2933,1.36966E+11,12210116100,39.3333,2016/11/16 17:28
000300.ZICN,20090508,300,0.8,2789.21,48,2752.512,2659.555,2655.109,2456.5453,2214.7163,18.8529,70.1367,60.7102,2.7758,3.7899,24.5242,66.0419,69.9071,1.20873E+11,10672498800,44.3333,2016/11/16 17:28
000300.ZICN,20090511,300,-2.291,2725.31,84.6667,2754.714,2674.798,2661.598,2463.3282,2222.5826,11.7608,68.0608,62.1803,2.7318,3.6645,24.1349,63.5896,60.2515,1.40456E+11,12536445200,11.3333,2016/11/16 17:28
000300.ZICN,20090512,300,2.321,2788.56,7.6667,2767.024,2702.325,2668.2005,2469.8198,2230.8054,13.6383,70.7043,63.8851,2.7688,3.7547,24.4621,65.1691,65.4104,93421458334,8869594200,88.6667,2016/11/16 17:28
000300.ZICN,20090513,300,0.912,2814,37.3333,2776.83,2731.872,2675.057,2475.6825,2238.6381,16.1823,73.9991,65.9079,2.816,3.7937,24.8789,65.4072,67.274,1.23638E+11,10711285600,59,2016/11/16 17:28
